Chr,Start,End,Conc,Conc_mPSkd,Conc_none,Fold,p-value,FDR,capC_mPS_LOF_st8p_1,capC_mPS_LOF_st8p_2,capC_mPS_LOF_st8p_3,capC_ctrl_st8p_1,capC_ctrl_st8p_2,capC_ctrl_st8p_3
scaffold_7,45318788,45319988,-0.35,-0.42,-0.29,-0.13,0.922,0.999,0.77,0.48,1,1.73,0.21,0.51
scaffold_6,52103893,52105093,0.12,0.18,0.07,0.11,0.923,0.999,1.92,0.48,1,0.87,1.26,1.02
scaffold_2,66045290,66046490,-0.27,-0.19,-0.35,0.16,0.924,0.999,1.15,0.48,1,0.29,1.05,1.02
scaffold_8,83329907,83331107,0.83,0.77,0.89,-0.12,0.924,0.999,2.68,1.43,1,2.31,2.74,0.51
scaffold_5,55251111,55252919,-0.29,-0.19,-0.4,0.21,0.926,0.999,1.15,0.48,1,0.29,1.47,0.51
scaffold_6,53247017,53248217,0.33,0.37,0.28,0.09,0.931,0.999,1.92,0.96,1,1.15,1.47,1.02
scaffold_8,15416590,15417790,-0.33,-0.36,-0.31,-0.05,0.935,0.999,0.38,0.96,1,0.87,1.05,0.51
scaffold_9,92080215,92082294,-0.33,-0.36,-0.31,-0.05,0.935,0.999,0.38,0.96,1,0.87,1.05,0.51
scaffold_5,1893256,1894456,0.48,0.42,0.53,-0.11,0.936,0.999,1.53,0.48,2,1.15,0.63,2.54
scaffold_2,94953731,94954931,0.28,0.18,0.38,-0.2,0.936,0.999,1.92,0.48,1,1.44,0.42,2.04
scaffold_5,60168914,60170114,-0.11,-0.07,-0.14,0.08,0.937,0.999,0.38,0.48,2,1.15,1.05,0.51
scaffold_2,69141767,69142967,0.07,0.01,0.14,-0.13,0.937,0.999,1.53,0.48,1,1.44,0.84,1.02
scaffold_7,54953293,54954493,-0.2,-0.07,-0.35,0.28,0.937,0.999,0.38,0.48,2,0.29,1.05,1.02
scaffold_3,112168621,112169821,-0.38,-0.42,-0.34,-0.08,0.939,0.999,0.77,0.48,1,1.44,0.42,0.51
scaffold_3,80969785,80970985,0.7,0.71,0.68,0.03,0.941,0.999,1.53,2.39,1,2.02,1.26,1.53
scaffold_6,62377396,62378596,0.23,0.22,0.24,-0.02,0.942,0.999,1.53,0.96,1,0.58,0.42,2.54
scaffold_3,72116683,72118910,-0.22,-0.14,-0.31,0.17,0.943,0.999,0.77,0.96,1,0.87,1.05,0.51
scaffold_5,87861468,87862668,-0.22,-0.14,-0.31,0.17,0.943,0.999,0.77,0.96,1,0.87,1.05,0.51
scaffold_6,56022555,56023755,-0.22,-0.14,-0.31,0.17,0.943,0.999,0.77,0.96,1,0.87,1.05,0.51
scaffold_6,58619764,58620964,-0.22,-0.14,-0.31,0.17,0.943,0.999,0.77,0.96,1,0.87,1.05,0.51
scaffold_6,60153200,60154400,3.85,3.86,3.84,0.02,0.944,0.999,14.56,11.96,17,11.26,9.9,21.88
scaffold_1,64240114,64242449,2.02,2.02,2.02,0.01,0.948,0.999,5.37,3.83,3,5.2,3.37,3.56
scaffold_6,61468610,61469810,0.09,0.01,0.17,-0.17,0.948,0.999,1.53,0.48,1,0.29,1.05,2.04
scaffold_6,60483236,60484436,1.76,1.69,1.83,-0.14,0.949,0.999,3.83,3.83,2,2.6,2.95,5.09
scaffold_1,82877979,82879179,0.48,0.4,0.54,-0.14,0.95,0.999,1.53,1.43,1,0.87,1.47,2.04
scaffold_8,31017956,31020279,-0.38,-0.42,-0.35,-0.07,0.952,0.999,0.77,0.48,1,0.29,1.05,1.02
scaffold_9,9406835,9408035,-0.38,-0.42,-0.35,-0.07,0.952,0.999,0.77,0.48,1,0.29,1.05,1.02
scaffold_5,11777829,11779029,0.21,0.18,0.25,-0.07,0.953,0.999,1.92,0.48,1,1.15,1.9,0.51
scaffold_3,20939930,20941130,1.4,1.33,1.46,-0.13,0.953,0.999,4.6,0.96,2,2.6,2.11,3.56
scaffold_1,46969745,46970945,-0.36,-0.36,-0.35,-0.01,0.955,0.999,0.38,0.96,1,0.58,1.26,0.51
scaffold_8,81955153,81956353,-0.36,-0.36,-0.35,-0.01,0.955,0.999,0.38,0.96,1,0.58,1.26,0.51
scaffold_1,92019968,92022349,0.08,0.05,0.1,-0.05,0.955,0.999,1.15,0.96,1,1.44,1.26,0.51
scaffold_1,46029825,46031025,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_1,72508178,72509378,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_1,86297366,86299299,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_1,175362770,175363970,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_1,199618749,199619949,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_10,8157744,8158944,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_10,26687481,26688681,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_2,7945783,7946983,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_2,18355600,18356800,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_2,78037122,78038322,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_2,81838940,81840140,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_3,54614329,54615529,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_3,66440559,66441759,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_3,85591060,85592260,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_4,2477721,2478921,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_4,28582406,28584416,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_4,59272636,59273836,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_4,124814409,124815609,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_5,36918418,36919618,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_5,75307780,75308980,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_6,95660009,95661209,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_7,2060768,2061968,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_9,32833053,32834253,-0.69,-0.69,-0.7,0.01,0.956,0.999,0.38,0.48,1,0.29,1.05,0.51
scaffold_7,77601993,77603193,1.95,1.89,2.01,-0.12,0.957,0.999,5.75,3.35,2,5.48,2.53,4.07
scaffold_9,57713258,57714458,0.05,0.09,0,0.1,0.957,0.999,0.77,1.43,1,0.29,1.68,1.02
scaffold_7,6305885,6307805,0.37,0.37,0.37,-0.01,0.961,0.999,1.92,0.96,1,1.73,0.63,1.53
scaffold_607,28828,30028,-0.35,-0.36,-0.34,-0.02,0.962,0.999,0.38,0.96,1,1.44,0.42,0.51
scaffold_1,93558988,93560188,-0.25,-0.19,-0.31,0.11,0.964,0.999,1.15,0.48,1,0.87,1.05,0.51
scaffold_8,26370530,26371730,1.95,1.96,1.93,0.02,0.965,0.999,3.83,3.83,4,2.89,4,4.58
scaffold_3,50526365,50527565,-0.18,-0.14,-0.22,0.08,0.968,0.999,0.77,0.96,1,0.29,1.26,1.02
scaffold_5,69948158,69949358,-0.18,-0.14,-0.22,0.08,0.968,0.999,0.77,0.96,1,0.29,1.26,1.02
scaffold_4,82407300,82408500,-0.41,-0.36,-0.47,0.11,0.971,0.999,0.38,0.96,1,1.44,0.21,0.51
scaffold_3,48971086,48973420,0.06,0.05,0.06,-0.01,0.972,0.999,1.15,0.96,1,1.15,1.47,0.51
scaffold_8,81332224,81333832,-0.35,-0.36,-0.35,-0.01,0.975,0.999,0.38,0.96,1,0.29,1.05,1.02
scaffold_5,117848699,117850544,-0.38,-0.36,-0.4,0.04,0.977,0.999,0.38,0.96,1,0.29,1.47,0.51
scaffold_7,21497994,21500099,6.55,6.55,6.56,-0.01,0.978,0.999,89.29,90.87,100,88.04,72.87,121.6
scaffold_2,66945294,66946494,-0.42,-0.36,-0.49,0.13,0.979,0.999,0.38,0.96,1,0.58,1.05,0.51
scaffold_3,59626624,59628510,-0.42,-0.36,-0.49,0.13,0.979,0.999,0.38,0.96,1,0.58,1.05,0.51
scaffold_5,40001933,40003133,-0.42,-0.36,-0.49,0.13,0.979,0.999,0.38,0.96,1,0.58,1.05,0.51
scaffold_6,58564744,58566714,1.18,1.22,1.14,0.08,0.979,0.999,1.53,0.48,5,1.15,1.9,3.56
scaffold_9,57836690,57838241,0.51,0.47,0.54,-0.07,0.98,0.999,2.68,0.48,1,1.44,1.9,1.02
scaffold_7,55131124,55132324,0.12,0.15,0.08,0.07,0.98,0.999,0.38,0.96,2,1.73,0.42,1.02
scaffold_3,74877912,74879112,-0.48,-0.42,-0.54,0.12,0.98,0.999,0.77,0.48,1,0.29,1.26,0.51
scaffold_3,101067964,101070140,-0.48,-0.42,-0.54,0.12,0.98,0.999,0.77,0.48,1,0.29,1.26,0.51
scaffold_5,21550156,21551356,-0.48,-0.42,-0.54,0.12,0.98,0.999,0.77,0.48,1,0.29,1.26,0.51
scaffold_5,60509611,60510811,-0.18,-0.14,-0.22,0.08,0.98,0.999,0.77,0.96,1,1.44,0.63,0.51
scaffold_9,18111699,18112899,0.41,0.42,0.39,0.02,0.985,0.999,1.53,0.48,2,1.15,1.26,1.53
scaffold_5,4062867,4064067,0.51,0.49,0.53,-0.05,0.987,0.999,0.77,1.43,2,0.87,0.42,3.05
scaffold_9,44468570,44469770,0.18,0.18,0.19,-0.01,0.988,0.999,1.92,0.48,1,1.44,1.47,0.51
scaffold_1,126576727,126579319,-0.21,-0.19,-0.22,0.03,0.988,0.999,1.15,0.48,1,0.29,1.26,1.02
scaffold_7,21524561,21525761,3.27,3.25,3.29,-0.04,0.993,0.999,9.96,10.52,8,8.08,8,13.23
scaffold_3,34417926,34419126,0.41,0.5,0.31,0.19,0.993,0.999,0.77,0.48,3,1.73,1.47,0.51
scaffold_3,21277569,21278769,4.61,4.62,4.6,0.02,0.993,0.999,14.56,19.13,40,18.47,16.43,37.65
scaffold_5,45593228,45595447,-0.45,-0.42,-0.47,0.05,0.994,0.999,0.77,0.48,1,1.44,0.21,0.51
scaffold_3,44791226,44792426,4.22,4.22,4.21,0,0.995,0.999,19.16,17.7,19,19.05,18.32,18.32
scaffold_6,56165475,56166675,0.02,0.01,0.04,-0.03,0.995,0.999,1.53,0.48,1,0.29,1.26,1.53
scaffold_9,44455415,44456615,0.02,0.01,0.04,-0.03,0.995,0.999,1.53,0.48,1,0.29,1.26,1.53
scaffold_6,59935843,59937043,1.18,1.13,1.23,-0.1,0.999,0.999,2.68,2.87,1,2.31,1.68,3.05
scaffold_2,77308097,77309297,-0.18,-0.19,-0.17,-0.02,0.999,0.999,1.15,0.48,1,1.44,0.21,1.02
